ident,type,name,elevation_ft,iso_country,iso_region,municipality,local_code
PAHL,medium_airport,Huslia Airport,220.0,US,US-AK,Huslia,HLA
PAHN,medium_airport,Haines Airport,15.0,US,US-AK,Haines,HNS
PAHO,medium_airport,Homer Airport,84.0,US,US-AK,Homer,HOM
PAHP,medium_airport,Hooper Bay Airport,13.0,US,US-AK,Hooper Bay,HPB
PAHU,small_airport,Hughes Airport,299.0,US,US-AK,Hughes,HUS
PAHV,small_airport,Healy River Airport,1263.0,US,US-AK,Healy,HRR
PAHX,small_airport,Shageluk Airport,79.0,US,US-AK,Shageluk,SHX
PAHY,seaplane_base,Hydaburg Seaplane Base,,US,US-AK,Hydaburg,HYG
PAI,heliport,Barton Heliport,960.0,US,US-CA,Pacoima,PAI
PAIG,small_airport,Igiugig Airport,90.0,US,US-AK,Igiugig,IGG
PAII,medium_airport,Egegik Airport,92.0,US,US-AK,Egegik,EII
PAIK,medium_airport,Bob Baker Memorial Airport,166.0,US,US-AK,Kiana,IAN
PAIL,medium_airport,Iliamna Airport,192.0,US,US-AK,Iliamna,ILI
PAIM,medium_airport,Indian Mountain LRRS Airport,1273.0,US,US-AK,Utopia Creek,UTO
PAIN,small_airport,McKinley National Park Airport,1720.0,US,US-AK,McKinley Park,INR
PAIW,small_airport,Wales Airport,22.0,US,US-AK,Wales,IWK
PAJC,small_airport,Chignik Airport,18.0,US,US-AK,Chignik,AJC
PAJN,medium_airport,Juneau International Airport,21.0,US,US-AK,Juneau,JNU
PAJV,closed,Jonesville Mine Airport,870.0,US,US-AK,Sutton,
PAJZ,small_airport,Koliganek Airport,269.0,US,US-AK,Koliganek,JZZ
PAKD,small_airport,Kodiak Municipal Airport,139.0,US,US-AK,Kodiak,KDK
PAKF,small_airport,False Pass Airport,20.0,US,US-AK,False Pass,KFP
PAKH,small_airport,Akhiok Airport,44.0,US,US-AK,Akhiok,AKK
PAKI,small_airport,Kipnuk Airport,11.0,US,US-AK,Kipnuk,IIK
PAKK,small_airport,Koyuk Alfred Adams Airport,154.0,US,US-AK,Koyuk,KKA
PAKL,small_airport,Kulik Lake Airport,717.0,US,US-AK,Kulik Lake,LKK
PAKN,medium_airport,King Salmon Airport,73.0,US,US-AK,King Salmon,AKN
PAKO,small_airport,Nikolski Air Station,77.0,US,US-AK,Nikolski,IKO
PAKP,medium_airport,Anaktuvuk Pass Airport,2102.0,US,US-AK,Anaktuvuk Pass,AKP
PAKT,medium_airport,Ketchikan International Airport,89.0,US,US-AK,Ketchikan,KTN
PAKU,small_airport,Ugnu-Kuparuk Airport,67.0,US,US-AK,Kuparuk,UBW
PAKV,small_airport,Kaltag Airport,181.0,US,US-AK,Kaltag,KAL
PAKW,medium_airport,Klawock Airport,80.0,US,US-AK,Klawock,AKW
PAKY,small_airport,Karluk Airport,137.0,US,US-AK,Karluk,KYK
PALB,small_airport,Larsen Bay Airport,87.0,US,US-AK,Larsen Bay,2A3
PALG,small_airport,Kalskag Airport,55.0,US,US-AK,Kalskag,KLG
PALH,seaplane_base,Lake Hood Seaplane Base,71.0,US,US-AK,Anchorage,LHD
PALP,small_airport,Alpine Airstrip,18.0,US,US-AK,Deadhorse,AK15
PALR,small_airport,Chandalar Lake Airport,1920.0,US,US-AK,Chandalar Lake,WCR
PALU,medium_airport,Cape Lisburne LRRS Airport,16.0,US,US-AK,Cape Lisburne,LUR
PAMB,small_airport,Manokotak Airport,100.0,US,US-AK,Manokotak,MBA
PAMC,medium_airport,McGrath Airport,341.0,US,US-AK,McGrath,MCG
PAMD,small_airport,Middleton Island Airport,100.0,US,US-AK,Middleton Island,MDO
PAMH,small_airport,Minchumina Airport,678.0,US,US-AK,Minchumina,MHM
PAMK,small_airport,St Michael Airport,98.0,US,US-AK,St Michael,SMK
PAML,small_airport,Manley Hot Springs Airport,270.0,US,US-AK,Manley Hot Springs,MLY
PAMM,seaplane_base,Metlakatla Seaplane Base,,US,US-AK,Metlakatla,MTM
PAMO,small_airport,Mountain Village Airport,337.0,US,US-AK,Mountain Village,MOU
PAMR,medium_airport,Merrill Field,137.0,US,US-AK,Anchorage,MRI
PAMX,small_airport,Mc Carthy Airport,1531.0,US,US-AK,Mccarthy,15Z
PAMY,medium_airport,Mekoryuk Airport,48.0,US,US-AK,Mekoryuk,MYU
PANA,small_airport,Napakiak Airport,17.0,US,US-AK,Napakiak,WNA
PANC,large_airport,Ted Stevens Anchorage International Airport,152.0,US,US-AK,Anchorage,ANC
PANI,medium_airport,Aniak Airport,88.0,US,US-AK,Aniak,ANI
PANN,medium_airport,Nenana Municipal Airport,362.0,US,US-AK,Nenana,ENN
PANO,small_airport,Nondalton Airport,314.0,US,US-AK,Nondalton,5NN
PANR,seaplane_base,Funter Bay Seaplane Base,0.0,US,US-AK,Funter Bay,FNR
PANT,medium_airport,Annette Island Airport,119.0,US,US-AK,Annette,ANN
PANU,small_airport,Nulato Airport,399.0,US,US-AK,Nulato,NUL
PANV,medium_airport,Anvik Airport,291.0,US,US-AK,Anvik,ANV
PANW,small_airport,New Stuyahok Airport,364.0,US,US-AK,New Stuyahok,KNW
PAOB,small_airport,Kobuk Airport,137.0,US,US-AK,Kobuk,OBU
PAOC,small_airport,Portage Creek Airport,137.0,US,US-AK,Portage Creek,A14
PAOH,small_airport,Hoonah Airport,19.0,US,US-AK,Hoonah,HNH
PAOM,medium_airport,Nome Airport,37.0,US,US-AK,Nome,OME
PAOO,small_airport,Toksook Bay Airport,59.0,US,US-AK,Toksook Bay,OOK
PAOR,medium_airport,Northway Airport,1715.0,US,US-AK,Northway,ORT
PAOT,medium_airport,Ralph Wien Memorial Airport,14.0,US,US-AK,Kotzebue,OTZ
PAOU,small_airport,Nelson Lagoon Airport,14.0,US,US-AK,Nelson Lagoon,OUL
PAPB,medium_airport,St George Airport,125.0,US,US-AK,St George,PBV
PAPC,medium_airport,Port Clarence Coast Guard Station,10.0,US,US-AK,Port Clarence,KPC
PAPE,small_airport,Perryville Airport,29.0,US,US-AK,Perryville,PEV
PAPG,medium_airport,Petersburg James A Johnson Airport,111.0,US,US-AK,Petersburg,PSG
PAPH,medium_airport,Port Heiden Airport,95.0,US,US-AK,Port Heiden,PTH
PAPK,small_airport,Napaskiak Airport,24.0,US,US-AK,Napaskiak,PKA
PAPM,medium_airport,Platinum Airport,15.0,US,US-AK,Platinum,PTU
PAPN,small_airport,Pilot Point Airport,57.0,US,US-AK,Pilot Point,PNP
PAPO,small_airport,Point Hope Airport,12.0,US,US-AK,Point Hope,PHO
PAPR,small_airport,Prospect Creek Airport,1095.0,US,US-AK,Prospect Creek,PPC
PAQC,seaplane_base,Klawock Seaplane Base,,US,US-AK,Klawock,AQC
PAQH,small_airport,Quinhagak Airport,42.0,US,US-AK,Quinhagak,AQH
PAQT,medium_airport,Nuiqsut Airport,38.0,US,US-AK,Nuiqsut,AQT
PARC,medium_airport,Arctic Village Airport,2092.0,US,US-AK,Arctic Village,ARC
PARS,small_airport,Russian Mission Airport,51.0,US,US-AK,Russian Mission,RSH
PARY,medium_airport,Ruby Airport,658.0,US,US-AK,Ruby,RBY
PASA,medium_airport,Savoonga Airport,53.0,US,US-AK,Savoonga,SVA
PASC,medium_airport,Deadhorse Airport,65.0,US,US-AK,Deadhorse,SCC
PASD,medium_airport,Sand Point Airport,21.0,US,US-AK,Sand Point,SDP
PASH,medium_airport,Shishmaref Airport,12.0,US,US-AK,Shishmaref,SHH
PASI,medium_airport,Sitka Rocky Gutierrez Airport,21.0,US,US-AK,Sitka,SIT
PASK,medium_airport,Selawik Airport,17.0,US,US-AK,Selawik,WLK
PASL,small_airport,Sleetmute Airport,190.0,US,US-AK,Sleetmute,SLQ
PASM,medium_airport,St Mary's Airport,312.0,US,US-AK,St Mary's,KSM
PASN,medium_airport,St Paul Island Airport,63.0,US,US-AK,St Paul Island,SNP
PASO,small_airport,Seldovia Airport,29.0,US,US-AK,Seldovia,SOV
PASP,small_airport,Sheep Mountain Airport,2750.0,US,US-AK,Sheep Mountain,SMU
PAST,small_airport,Summit Airport,2409.0,US,US-AK,Summit,UMM
PASV,medium_airport,Sparrevohn LRRS Airport,1585.0,US,US-AK,Sparrevohn,SVW
PASW,small_airport,Skwentna Airport,148.0,US,US-AK,Skwentna,SKW
PASX,medium_airport,Soldotna Airport,113.0,US,US-AK,Soldotna,SXQ
PASY,medium_airport,Eareckson Air Station,95.0,US,US-AK,Shemya,SYA
PATA,small_airport,Ralph M Calhoun Memorial Airport,236.0,US,US-AK,Tanana,TAL
PATC,small_airport,Tin City Long Range Radar Station Airport,271.0,US,US-AK,Tin City,TNC
PATE,small_airport,Teller Airport,294.0,US,US-AK,Teller,TER
PATG,medium_airport,Togiak Airport,21.0,US,US-AK,Togiak Village,TOG
PATJ,closed,Tok Airport,1670.0,US,US-AK,Tok,TKJ
PATK,medium_airport,Talkeetna Airport,358.0,US,US-AK,Talkeetna,TKA
PATL,medium_airport,Tatalina LRRS Airport,964.0,US,US-AK,Takotna,TLJ
PATQ,medium_airport,Atqasuk Edward Burnell Sr Memorial Airport,96.0,US,US-AK,Atqasuk,ATK
PATW,small_airport,Cantwell Airport,2190.0,US,US-AK,Cantwell,TTW
PAUK,small_airport,Alakanuk Airport,10.0,US,US-AK,Alakanuk,AUK
PAUM,small_airport,Umiat Airport,267.0,US,US-AK,Umiat,UMT
PAUN,small_airport,Unalakleet Airport,27.0,US,US-AK,Unalakleet,UNK
PAUO,small_airport,Willow Airport,221.0,US,US-AK,Willow,UUO
PAUT,small_airport,Akun Airport,,US,US-AK,Akutan,7AK
PAVA,small_airport,Chevak Airport,75.0,US,US-AK,Chevak,VAK
PAVC,small_airport,King Cove Airport,155.0,US,US-AK,King Cove,KVC
PAVD,medium_airport,Valdez Pioneer Field,121.0,US,US-AK,Valdez,VDZ
